x_job,from_name,from_addr,bounce_rate,subject
Acme,Acme Adventures,alice@acme-adventures.com,0.03,Today's 🔥 sales
Acme,Acme Adventures,alice@acme-adventures.com,0.03,Big savings 💰
Acme,Acme Adventures,alice@acme-adventures.com,0.03,Password reset
Acme,Acme Adventures,alice@acme-adventures.com,0.03,Welcome to our club 🥳
Acme,Acme Adventures,alice@acme-adventures.com,0.03,🔑 Here's your secure account access code
Bobs,Bob's Burgers,bob@burgers.com,0.03,Your order is 🏎️ despatched
Bobs,Bob's Burgers,bob@burgers.com,0.03,Someone 👀 upvoted your favorite 🍔 burger toppings
Bobs,Bob's Burgers,bob@burgers.com,0.03,🥡 Exchange your loyalty points for a tasty 🍔 elk-burger
Bobs,Bob's Burgers,bob@burgers.com,0.03,Reset your Bob's Burrgers password 🔑
Chaz,Creative Climbing,charlie@creative-climbing.com,0.03,$1500 gear giveway 🏔️ Haglofs 🐺 Jack Wolfskin 🧭 Silva 🎒 Lowe Alpine
Chaz,Creative Climbing,charlie@creative-climbing.com,0.03,Your order is on the way
Chaz,Creative Climbing,charlie@creative-climbing.com,0.03,Multi-trip insurance including off-piste cover for $99
Chaz,Creative Climbing,charlie@creative-climbing.com,0.03,"Can only 🇳🇴 Norwegians afford Hilleberg 🏕️ tents?"
Dani,Dani's Dance Studios,dani@dance-studios.com,0.03,New Saturday Salsa 💃 classes open - enroll now
Dani,Dani's Dance Studios,dani@dance-studios.com,0.03,Ballet 🩰 blitz! All shoes half-price
Dani,Dani's Dance Studios,dani@dance-studios.com,0.03,Booking confirmed 🎶 for 🕺 Dad Dancing Class!
